linker_smiles,common_name,compatible_metals,mof_ids
[O-]C(=O)COc1ccc(cc1)N(CC(=O)[O-])CC(=O)[O-],,"Ce, Nd, Sm",[Ce].[O-]C(=O)COc1ccc(cc1)N(CC(=O)[O-])CC(=O)[O-]; [Nd].[O-]C(=O)COc1ccc(cc1)N(CC(=O)[O-])CC(=O)[O-]; [O-]C(=O)COc1ccc(cc1)N(CC(=O)[O-])CC(=O)[O-].[Sm]
[O-]C(=O)Cc1ccc(cc1)n1cnnc1,"2-[4-(1,2,4-triazol-4-yl)phenyl]acetate",Cu,[Cu][O]1[Cu][O]([Cu]1)[Cu].[O-]C(=O)Cc1ccc(cc1)n1cnnc1
[O-]C(=O)[CH][CH]C(=O)[O-],succinate,Er,[Er].[O-]C(=O)[CH][CH]C(=O)[O-]
[O-]C(=O)[C]1C=C(C(=O)[O-])C(=O)[CH]C1=O,"4,6-dioxocyclohexene-1,3-dicarboxylate",Co,[Co].[O-]C(=O)[C]1C=C(C(=O)[O-])C(=O)[CH]C1=O
[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-],"2,3,5,6-tetrafluoroterephthalate","Ce, Eu, Nd, Pr, Tb",[Ce].[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[O]; [Eu][Eu].[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-]; [Nd].[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-]; [O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Pr]; [O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Tb][Tb]
[O-]C(=O)c1c(F)c(F)c(c(c1F)F)c1c(F)c(F)c(c(c1F)F)C(=O)[O-],"4-(4-carboxylato-2,3,5,6-tetrafluorophenyl)-2,3,5,6-tetrafluorobenzoate",Zn,[O-]C(=O)c1c(F)c(F)c(c(c1F)F)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Zn]
[O-]C(=O)c1c(cccc1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1c(cccc1C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
[O-]C(=O)c1c[n-]n(c1)C(n1[n-]cc(c1)C(=O)[O-])c1ccc(cc1)C(n1[n-]cc(c1)C(=O)[O-])n1[n-]cc(c1)C(=O)[O-],,Zr,[O-]C(=O)c1c[n-]n(c1)C(n1[n-]cc(c1)C(=O)[O-])c1ccc(cc1)C(n1[n-]cc(c1)C(=O)[O-])n1[n-]cc(c1)C(=O)[O-].[OH]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[OH]3[Zr]35[OH]6[Zr]2([OH]71)[OH]43
[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],"benzene-1,2,4,5-tetracarboxylate","Sm, Zn",[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-].[Sm].[Sm][Sm]; [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-].[Zn]
[O-]C(=O)c1cc(C(=O)[O-])c(cc1C1=NN=N[N]1)C1=NN=N[N]1,,Mn,[Mn].[O-]C(=O)c1cc(C(=O)[O-])c(cc1C1=NN=N[N]1)C1=NN=N[N]1
[O-]C(=O)c1cc(C(=O)[O-])c(cc1[O])[O],"4,6-dicarboxybenzene-1,3-diolate",Co,[Co].[O-]C(=O)c1cc(C(=O)[O-])c(cc1[O])[O]
[O-]C(=O)c1cc(C)c(c(c1)C)c1cccc(c1)c1c(C)cc(cc1C)C(=O)[O-],,Zr,[O-]C(=O)c1cc(C)c(c(c1)C)c1cccc(c1)c1c(C)cc(cc1C)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43
[O-]C(=O)c1cc(CN2[N]C(=N[C]2c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-],,Co,[Co].[O-]C(=O)c1cc(CN2[N]C(=N[C]2c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-]
[O-]C(=O)c1cc(CSc2nc3c([nH]2)cccc3)cc(c1)C(=O)[O-],,Zn,[O-]C(=O)c1cc(CSc2nc3c([nH]2)cccc3)cc(c1)C(=O)[O-].[Zn]
[O-]C(=O)c1cc(N2[N]C=N[CH]2)c(cc1N1[N]C=N[CH]1)C(=O)[O-],,Zn,[O-]C(=O)c1cc(N2[N]C=N[CH]2)c(cc1N1[N]C=N[CH]1)C(=O)[O-].[Zn]
[O-]C(=O)c1cc(NC2=NC(=[N]=C([N]2)Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],,Zn,[O-]C(=O)c1cc(NC2=NC(=[N]=C([N]2)Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn].[Zn][O]([Zn])[Zn]
[O-]C(=O)c1cc(NC2=NN=N[N]2)cc(c1)C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1cc(NC2=NN=N[N]2)cc(c1)C(=O)[O-]
[O-]C(=O)c1cc(NCc2c3ccccc3cc3c2cccc3)cc(c1)C(=O)[O-],,Eu,[Eu].[O-]C(=O)c1cc(NCc2c3ccccc3cc3c2cccc3)cc(c1)C(=O)[O-]
[O-]C(=O)c1cc(NCc2ccccc2)cc(c1)C(=O)[O-],,Cu,[Cu][O]1[Cu][O]([Cu]1)[Cu].[O-]C(=O)c1cc(NCc2ccccc2)cc(c1)C(=O)[O-]
[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-],,"Dy, Er, Eu, Gd, Ho, Sm, Tb, Yb",[Dy].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-]; [Er].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-]; [Eu].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-]; [Gd].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-]; [Ho].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-]; [O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-].[Sm]; [O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-].[Tb]; [O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-].[Yb]
[O-]C(=O)c1cc(Nc2ccccc2)c(cc1Nc1ccccc1)C(=O)[O-],"2,5-dianilinoterephthalate",Zn,[O-]C(=O)c1cc(Nc2ccccc2)c(cc1Nc1ccccc1)C(=O)[O-].[Zn][O]1[Zn][O]([Zn]1)[Zn]
[O-]C(=O)c1cc(O)c(c(c1)O)[O],"3,4,5-Trihydroxybenzoate",Co,[Co].[O-]C(=O)c1cc(O)c(c(c1)O)[O]
[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],"2,5-dicarboxybenzene-1,4-diolate","Eu, Gd, Tb",[Eu].[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]; [Gd].[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]; [O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-].[Tb]
[O-]C(=O)c1cc(OCc2c3ccccc3c(c3c2cccc3)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],,Co,[Co][O]([Co])[Co].[O-]C(=O)c1cc(OCc2c3ccccc3c(c3c2cccc3)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
[O-]C(=O)c1cc(OCc2ccc(cc2)C(=O)[O-])cc(c1)OCc1ccc(cc1)C(=O)[O-],,Zn,[O-]C(=O)c1cc(OCc2ccc(cc2)C(=O)[O-])cc(c1)OCc1ccc(cc1)C(=O)[O-].[OH].[Zn]
[O-]C(=O)c1cc(OCc2ccccc2C(=O)[O-])cc(c1)C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1cc(OCc2ccccc2C(=O)[O-])cc(c1)C(=O)[O-].[O][Cd]
[O-]C(=O)c1cc(OCc2ccncc2)cc(c1)C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1cc(OCc2ccncc2)cc(c1)C(=O)[O-]
[O-]C(=O)c1cc(Oc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],,Zn,[O-]C(=O)c1cc(Oc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn]
[O-]C(=O)c1cc(Oc2ccc(cc2)C2=NN=N[N]2)cc(c1)C(=O)[O-],,"Eu, Gd, Sm",[O-]C(=O)c1cc(Oc2ccc(cc2)C2=NN=N[N]2)cc(c1)C(=O)[O-].[OH2][Eu][OH2]; [O-]C(=O)c1cc(Oc2ccc(cc2)C2=NN=N[N]2)cc(c1)C(=O)[O-].[OH2][Gd]; [O-]C(=O)c1cc(Oc2ccc(cc2)C2=NN=N[N]2)cc(c1)C(=O)[O-].[OH2][Sm][OH2]
[O-]C(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-],,"Cd, Ni",[Cd].[O-]C(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-]; [Ni].[O-]C(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-]
[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],"2,5-dicarboxybenzene-1,4-diolate","Cd, Co, Mg, Ni, Ti, Zn",[Cd].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]; [Co].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]; [Mg].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]; [Ni].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]; [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[Ti]; [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[Zn]
[O-]C(=O)c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],,Zn,[O-]C(=O)c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Zn][O]1[Zn][O]([Zn]1)[Zn]
[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])F,,"Eu, Ni",[Eu].[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])F; [Ni][O]([Ni])[Ni].[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])F
[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-],,Tb,[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-].[Tb]
[O-]C(=O)c1cc(c[n+](c1)[O-])C(=O)[O-],"1-oxidopyridin-1-ium-3,5-dicarboxylate",Cu,[Cu][Cu].[O-]C(=O)c1cc(c[n+](c1)[O-])C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],"1,3,5-benzenetricarboxylate","Al, Cd, Co, Cu, In, Mn, Tb, Zn",[Al].[Al][O]([Al])[Al].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O]; [Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Co].[Co][Co].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [In].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Mn].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Tb]; [O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].[Zn][O]([Zn])([Zn])[Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])Cn1nc(nc1c1ccncc1)c1ccncc1,,Zn,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])Cn1nc(nc1c1ccncc1)c1ccncc1.[Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],"5-[13-(3,5-dicarboxylatophenyl)-5,7,12,14-tetraoxo-6,13-diazatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),2,4(16),8,10-pentaen-6-yl]benzene-1,3-dicarboxylate","Cd, Cu, Eu, Zr",[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Eu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1CCCC1,,Zn,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1CCCC1.[Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1[CH]C=C(C=C1)c1ccncc1,,Gd,O[Gd].[Gd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1[CH]C=C(C=C1)c1ccncc1.[O][CH][O]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])O[C]1=[N]=[C](=[N]=[C](=[N]=1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Zn,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])O[C]1=[N]=[C](=[N]=[C](=[N]=1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].[Zn][Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])[Si](c1cc(cc(c1)C(=O)[O-])C(=O)[O-])(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C,,Cd,[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])[Si](c1cc(cc(c1)C(=O)[O-])C(=O)[O-])(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,"Cu, Zn",[Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],"5-(3,5-dicarboxylatophenyl)benzene-1,3-dicarboxylate","Al, Co, Eu, Ga, Sc, V, Zn",[Al].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH]; [Co].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Eu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Ga].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH]; [O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[Sc]; [O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V]; [O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Zn,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(c(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Zn,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(c(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(c(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(c(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)C(=C(c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Zn,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)C(=C(c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][Zn]
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],,"Cd, Ce, Eu",[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Ce].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Eu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)NC(=O)c1ccc(cc1)C(=O)[O-])NC(=O)c1ccc(cc1)C(=O)[O-],,Eu,[Eu].[O-]C(=O)c1cc(cc(c1)NC(=O)c1ccc(cc1)C(=O)[O-])NC(=O)c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Zn,[O-]C(=O)c1cc(cc(c1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][OH]1[Zn][OH2][Zn][OH]([Zn][OH2][Zn]1)[Zn]
[O-]C(=O)c1cc(cc(c1)Oc1cccc(c1)C(=O)[O-])Oc1cccc(c1)C(=O)[O-],,Mn,[O-]C(=O)c1cc(cc(c1)Oc1cccc(c1)C(=O)[O-])Oc1cccc(c1)C(=O)[O-].[OH2][Mn][OH2][Mn][OH2][Mn][OH2]
[O-]C(=O)c1cc(cc(c1)c1cc(nc(c1)c1ccccn1)c1ccccn1)C(=O)[O-],,Mn,[Mn].[O-]C(=O)c1cc(cc(c1)c1cc(nc(c1)c1ccccn1)c1ccccn1)C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)c1ccc(c2c1cccc2)C(=O)[O-])C(=O)[O-],,Eu,[Eu].[O-]C(=O)c1cc(cc(c1)c1ccc(c2c1cccc2)C(=O)[O-])C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],"3,5-bis(4-carboxylatophenyl)benzoate","Al, Ni",[Al][O]([Al])[Al].[O-]C(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]; [Ni][O]([Ni])[Ni].[O-]C(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)c1cccc2c1cccc2c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],,Cu,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)c1cccc2c1cccc2c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)c1cccnc1)C(=O)[O-],,Co,[Co].[O-]C(=O)c1cc(cc(c1)c1cccnc1)C(=O)[O-]; [Co][Co].[O-]C(=O)c1cc(cc(c1)c1cccnc1)C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)n1ccnc1C)C(=O)[O-],,"Co, Cu",[Co][Co].[O-]C(=O)c1cc(cc(c1)n1ccnc1C)C(=O)[O-]; [Cu][Cu].[O-]C(=O)c1cc(cc(c1)n1ccnc1C)C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)C(=O)[O-],,Cd,[Cd][Cd].[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)n1cncc1)C(=O)[O-],,Cu,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)n1cncc1)C(=O)[O-]
[O-]C(=O)c1cc(cc(c1)n1cnnc1)n1cnnc1,,Co,[Co].[O-]C(=O)c1cc(cc(c1)n1cnnc1)n1cnnc1.[OH]
[O-]C(=O)c1cc(cc(n1)C(=O)[O-])c1cc(nc(c1)C(=O)[O-])C(=O)[O-],"4-(2,6-dicarboxylato-4-pyridinyl)pyridine-2,6-dicarboxylate",Zn,[O-]C(=O)c1cc(cc(n1)C(=O)[O-])c1cc(nc(c1)C(=O)[O-])C(=O)[O-].[Zn]
[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-],,"Ce, Eu, La, Nd, Pr, Sm",[Eu].[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-]; [La].[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-]; [Nd].[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-]; [O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-].[OH2][Ce]; [O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-].[Pr]; [O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-].[Sm]
[O-]C(=O)c1cc(ccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],,Cu,[Cu].[Cu][Cu].[O-]C(=O)c1cc(ccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-]
[O-]C(=O)c1cc(ccc1c1cc(nc(c1)c1ccncc1)c1ccncc1)C(=O)[O-],,Ni,[Ni].[O-]C(=O)c1cc(ccc1c1cc(nc(c1)c1ccncc1)c1ccncc1)C(=O)[O-]
[O-]C(=O)c1cc(ccc1c1ccc(nc1)C(=O)[O-])C(=O)[O-],,Zn,[O-]C(=O)c1cc(ccc1c1ccc(nc1)C(=O)[O-])C(=O)[O-].[Zn][OH][Zn]
[O-]C(=O)c1cc(nc(c1)c1ccncc1)c1ccncc1,,Cu,[Cu].[O-]C(=O)c1cc(nc(c1)c1ccncc1)c1ccncc1
[O-]C(=O)c1cc(nc(c1)n1[n-]cc(c1)C(=O)[O-])n1[n-]cc(c1)C(=O)[O-],,Sc,[O-]C(=O)c1cc(nc(c1)n1[n-]cc(c1)C(=O)[O-])n1[n-]cc(c1)C(=O)[O-].[Sc][O]([Sc])[Sc]
[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-],,Cu,[Cu][Cu].[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-]
[O-]C(=O)c1cc2ccccc2c(c1O)c1c(O)c(cc2c1cccc2)C(=O)[O-],3-carboxy-1-(3-carboxy-2-oxidonaphthalen-1-yl)naphthalen-2-olate,Zn,[O-]C(=O)c1cc2ccccc2c(c1O)c1c(O)c(cc2c1cccc2)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]
[O-]C(=O)c1cc2n(cnc2cc1C(=O)[O-])Cc1ccc(cc1)Cn1cnc2c1cc(C(=O)[O-])c(c2)C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1cc2n(cnc2cc1C(=O)[O-])Cc1ccc(cc1)Cn1cnc2c1cc(C(=O)[O-])c(c2)C(=O)[O-]
[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-],2-bromoterephthalate,V,[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-].[O].[V]
